	sel title	artist	top genre	year	added	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop	mellow	unpretenious	sophisticated	intense	contemperory
74	75  La Niña de la Escuela	Lola Indigo	spanish pop	2021	2023‑04‑13	84.54106280193237	88.0	65.75342465753425	91.30434782608695	98.91304347826087	87.5	204.0	17.171717171717173	8.0	70.0	-74.91173046726948	-52.0494665234838	64.97426017169913	144.20699099391774	17.677148946282365
75	76  Chica Ideal	Sebastian Yatra	colombian pop	2020	2023‑04‑13	48.309178743961354	89.0	46.57534246575342	82.6086956521739	15.217391304347826	72.91666666666667	183.0	8.080808080808081	16.0	70.0	-23.202339054632073	-14.845427548264055	66.01738649147822	66.5707649755446	5.740738610043257
76	77  YaMeFui	Bizarrap	argentine hip hop	2021	2023‑04‑13	48.309178743961354	64.0	76.71232876712328	78.26086956521739	28.26086956521739	17.708333333333332	183.0	66.66666666666667	7.0	69.0	-58.983042154721716	-49.7337969856396	77.85560187942558	119.90576814903051	18.245957001522072
77	78  Ptazeta: Bzrp Music Sessions, Vol. 45	Bizarrap	argentine hip hop	2021	2023‑04‑13	54.589371980676326	81.0	82.1917808219178	78.26086956521739	5.434782608695652	72.91666666666667	161.0	4.040404040404041	1.0		-23.772650567617795	-10.302981046317853	84.2206249511193	77.15654836031547	11.484158514868755
78	79  Mala Mía	LIT killah	argentine hip hop	2021	2023‑04‑13	84.54106280193237	68.0	61.64383561643836	82.6086956521739	10.869565217391305	54.166666666666664	191.0	20.2020202020202	8.0	69.0	-48.29004457920478	-13.0150665379224	70.06034135277733	96.67089447181765	12.650455568189342
79	80  TOP 5	Duki	argentine hip hop	2021	2023‑04‑13	47.82608695652174	82.0	84.93150684931507	86.95652173913044	9.782608695652174	70.83333333333333	147.0	9.090909090909092	21.0	69.0	-27.42777537134298	-18.31825626725865	88.38589889364161	85.53837511505766	11.843659194686595
80	81  Una Nota	J Balvin	reggaeton	2021	2023‑04‑13	86.47342995169082	79.0	58.9041095890411	78.26086956521739	4.3478260869565215	72.91666666666667	171.0	2.0202020202020203	21.0	69.0	-34.5112921953303	0.42115729961918014	69.27934496844564	77.99965181896388	9.908214440413667
81	82  Si Me Tomo Una Cerveza	Migrantes	cumbia pop	2020	2023‑04‑13	40.57971014492754	61.0	67.12328767123287	69.56521739130434	15.217391304347826	88.54166666666667	182.0	19.19191919191919	6.0	69.0	-7.8768642349642795	-16.51557470927259	82.26045445521324	57.24040546922469	8.357530599322589
82	83  Explícito	Myke Towers	reggaeton	2020	2023‑04‑13	45.410628019323674	83.0	82.1917808219178	86.95652173913044	4.3478260869565215	42.708333333333336	195.0	35.35353535353536	5.0	69.0	-37.970279026115826	-28.299755859668757	87.17736627742583	96.11924598877397	13.769141496862613
83	84  La Nota	Manuel Turizo	colombian pop	2021	2023‑04‑13	43.96135265700483	63.0	69.86301369863014	78.26086956521739	35.869565217391305	51.041666666666664	216.0	18.181818181818183	6.0	69.0	-43.69371499389367	-33.558764949976236	68.97711179694504	99.36449177600905	13.069715732368355
84	85  ALMAS GEMELAS	Myke Towers	reggaeton	2021	2023‑04‑13	45.410628019323674	75.0	76.71232876712328	78.26086956521739	29.347826086956523	73.95833333333333	235.0	18.181818181818183	6.0	69.0	-29.171777332587336	-27.425414245191643	81.27391544991305	86.63551123203447	12.224135525896246
85	86  BEBÉ	Camilo	colombian pop	2021	2023‑04‑13	62.31884057971015	72.0	86.3013698630137	82.6086956521739	3.260869565217391	100.0	197.0	48.484848484848484	4.0	69.0	-10.789922753442701	-18.856787048567867	109.50981825401124	71.28437742523508	12.378742758135255
86	87  Salimo de Noche	Tiago PZK	trap argentino	2021	2023‑04‑13	40.09661835748792	63.0	60.273972602739725	82.6086956521739	10.869565217391305	80.20833333333333	178.0	29.292929292929294	5.0	68.0	-13.990369748708039	-21.554091202375155	83.50603112723422	64.16948482742853	7.4027429972747125
87	88  DANCE CRIP	Trueno	argentine hip hop	2021	2023‑04‑13	50.72463768115942	77.0	86.3013698630137	82.6086956521739	6.521739130434782	88.54166666666667	165.0	11.11111111111111	10.0	68.0	-15.622377738071593	-13.105620491694788	94.72523327377408	73.00174128118589	11.019209929852424
88	89  No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]	BANDIDO	concurso de talentos argentino	2021	2023‑04‑13	0.0														
89	90  FEEL ME??	Trueno	argentine hip hop	2021	2023‑04‑13	58.93719806763285	58.0	69.86301369863014	73.91304347826087	27.17391304347826	54.166666666666664	187.0	40.4040404040404	4.0	68.0	-41.53308697456999	-31.37987002244001	76.33459971965036	96.40646037504288	14.372704862803136
90	91  VIVIR ASÍ ES MORIR DE AMOR	NATHY PELUSO	r&b en espanol	2021	2023‑04‑13	48.792270531400966	80.0	53.42465753424658	73.91304347826087	8.695652173913043	73.95833333333333	257.0	9.090909090909092	5.0	68.0	-17.16008957953568	-10.25814897786682	69.33702721076159	59.74343682507023	6.650387323202242
91	92  Fiel - Remix	Wisin	reggaeton	2021	2023‑04‑13	46.85990338164251	71.0	83.56164383561644	78.26086956521739	10.869565217391305	58.333333333333336	350.0	40.4040404040404	5.0	68.0	-29.502496676111917	-28.223071994513333	90.53448721882313	87.9388374513449	14.008839135849259
92	93  Poblado - Remix	J Balvin	reggaeton	2021	2023‑04‑13	44.44444444444444	81.0	79.45205479452055	78.26086956521739	39.130434782608695	66.66666666666667	393.0	10.1010101010101	8.0	68.0	-38.14288808273322	-31.22369616354131	75.88385342405593	97.57182305484868	13.582387303649963
93	94  Sal y Perrea	Sech	panamanian pop	2021	2023‑04‑13	42.99516908212561	90.0	76.71232876712328	95.65217391304348	30.434782608695652	83.33333333333333	217.0	19.19191919191919	13.0	68.0	-29.952190156478423	-31.9071747853761	89.20254961767765	92.48100420524483	10.980270242628789
94	95  Mentirosa	Rafaga	cumbia chilena	1998	2023‑04‑13	96.61835748792271	78.0	54.794520547945204	73.91304347826087	23.91304347826087	84.375	195.0	6.0606060606060606	8.0	68.0	-39.346347633572165	-4.689548665631898	65.79164485835123	84.2903284633109	11.076363508521787
95	96  como si no importara	Emilia	pop argentino	2021	2023‑04‑13	45.410628019323674	53.0	83.56164383561644	69.56521739130434	8.695652173913043	54.166666666666664	173.0	47.474747474747474	14.0	67.0	-26.533019293591064	-28.054483940055707	89.55425006467294	82.94816990632953	14.554348578097837
96	97  Mal Acostumbrao - con Maria Becerra	Mau y Ricky	latin pop	2021	2023‑04‑13	46.85990338164251	52.0	86.3013698630137	73.91304347826087	6.521739130434782	60.416666666666664	190.0	6.0606060606060606	14.0	67.0	-26.658719415717627	-14.348085906714555	82.13278707263223	80.78695757455435	12.737630549088262
97	98  2:50 Remix	MYA	pop argentino	2021	2023‑04‑13	67.14975845410628	81.0	80.82191780821918	82.6086956521739	22.82608695652174	86.45833333333333	232.0	11.11111111111111	5.0	67.0	-30.912150089338894	-17.027941152140823	86.4177420422209	88.93697885646218	12.851893901793396
98	99  YIN YAN	Duki	argentine hip hop	2021	2023‑04‑13	82.6086956521739	69.0	68.4931506849315	82.6086956521739	27.17391304347826	72.91666666666667	189.0	6.0606060606060606	14.0	67.0	-46.08266554767446	-14.823360541086867	71.99636327539841	99.163587182125	13.086441018282887
99	100 L-Gante: RKT SESSIONS #1	Papu DJ	cumbia 420	2020	2023‑04‑13	84.54106280193237	49.0	82.1917808219178	52.17391304347826	27.17391304347826	56.25	182.0	37.37373737373738	48.0	67.0	-44.62289211351152	-20.19911631201834	74.9645863037763	97.7555821767406	18.902032911004028
100	101 Mi Niña	Wisin	reggaeton	2020	2023‑04‑13	47.82608695652174	82.0	80.82191780821918	86.95652173913044	13.043478260869565	81.25	213.0	31.31313131313131	17.0	67.0	-21.563884828030147	-24.75780775293134	95.49042539751295	81.16296150907527	11.565620845139907
101	102 AM	Nio Garcia	reggaeton	2021	2023‑04‑13	82.6086956521739	52.0	82.1917808219178	73.91304347826087	7.608695652173913	63.541666666666664	182.0	40.4040404040404	33.0	67.0	-38.62234314557124	-16.73075058957653	88.5161892901619	94.1773267968548	16.140847689220976
102	103 Ella - Remix	Boza	panamanian pop	2021	2023‑04‑13	86.47342995169082	81.0	71.23287671232876	82.6086956521739	16.304347826086957	90.625	330.0	34.343434343434346	11.0	67.0	-31.60636742649845	-15.168524321535784	89.720706168294	86.76832236901477	12.883537767490267
103	104 De Museo	Bad Bunny	reggaeton	2021	2023‑04‑13	63.28502415458937	49.0	49.31506849315068	52.17391304347826	11.956521739130435	22.916666666666668	210.0	24.242424242424242	7.0	67.0	-44.0374155491785	-14.883951561475385	47.76961695573965	80.23097337279887	12.203198227059158
104	105 La Tóxica	Farruko	reggaeton	2020	2023‑04‑13	43.96135265700483	70.0	58.9041095890411	82.6086956521739	7.608695652173913	63.541666666666664	181.0	9.090909090909092	16.0	67.0	-24.31234621377564	-15.22532107104397	71.83292423941622	70.92051809037365	7.5767613222757655
105	106 Colorín Colorado	Justin Quiles	reggaeton	2021	2023‑04‑13	81.64251207729468	81.0	61.64383561643836	82.6086956521739	17.391304347826086	58.333333333333336	195.0	22.22222222222222	19.0	67.0	-47.6745417245715	-16.78444510621401	70.76785123420025	97.63784660181324	12.729452054794523
106	107 Maldita Foto	TINI	latin pop	2021	2023‑04‑13	83.57487922705315	67.0	69.86301369863014	82.6086956521739	8.695652173913043	95.83333333333333	190.0	15.151515151515152	13.0	66.0	-24.67614801980495	-5.272601686910797	86.78058127432756	76.11484860517022	10.677821244006472
107	108 Anuel AA: Bzrp Music Sessions, Vol. 46	Bizarrap	argentine hip hop	2021	2023‑04‑13	35.7487922705314	84.0	24.65753424657534	82.6086956521739	7.608695652173913	67.70833333333333	202.0	35.35353535353536			-13.36735731345619	-20.781375209811035	63.469239747083705	49.83567772724265	1.856677066977098
108	109 Ram Pam Pam	NATTI NATASHA	latin pop	2021	2023‑04‑13	46.3768115942029	81.0	93.15068493150685	86.95652173913044	28.26086956521739	94.79166666666667	201.0	31.31313131313131	8.0	66.0	-21.865701385504835	-31.705910542290077	103.11162849459454	89.34083276180506	13.815043864794458
109	110 En Tu Cuerpo - Remix	Lyanno	reggaeton	2020	2023‑04‑13	74.8792270531401	50.0	69.86301369863014	60.869565217391305	8.695652173913043	57.291666666666664	311.0	25.252525252525253	7.0	66.0	-33.75443084808778	-10.446034383441322	72.21668140607987	79.95413824065551	13.73630005384398
110	111 Antes de Ti	Rusherking	trap argentino	2021	2023‑04‑13	61.35265700483092	61.0	84.93150684931507	82.6086956521739	5.434782608695652	79.16666666666667	207.0	13.131313131313131	4.0	65.0	-24.679861449515986	-12.127544804808059	91.1004355647	81.13411512384114	12.28667632248633
111	112 No Te Enamores - Remix	Milly	urbano latino	2020	2023‑04‑13	47.82608695652174	84.0	80.82191780821918	78.26086956521739	27.17391304347826	59.375	290.0	57.57575757575758	11.0	65.0	-35.83771003663797	-40.70221102478027	90.91269153717039	98.04946238742397	15.538680243471044
112	113 Poblado	Crissin	reggaeton colombiano	2020	2023‑04‑13	44.44444444444444	71.0	91.78082191780823	69.56521739130434	10.869565217391305	48.958333333333336	202.0	1.0101010101010102	9.0	65.0	-33.28330806576786	-16.5918417723994	77.8937258228503	88.50348218636636	14.554224684305836
113	114 Prende la Cámara RMX	FMK	trap argentino	2021	2023‑04‑13	43.96135265700483	71.0	72.6027397260274	82.6086956521739	5.434782608695652	82.29166666666667	213.0	11.11111111111111	11.0	65.0	-14.196446297399236	-13.502454751505523	86.17751968764476	66.17407434981139	8.499923482893257
114	115 Súbelo	Anuel AA	reggaeton	2021	2023‑04‑13	42.99516908212561	75.0	54.794520547945204	82.6086956521739	9.782608695652174	77.08333333333333	240.0	17.171717171717173	8.0	65.0	-16.479197875118064	-16.50310542891692	76.00178978588747	63.03700720727225	6.350065199343042
115	116 Tan Enamorados	CNCO	boy band	2021	2023‑04‑13	82.6086956521739	71.0	58.9041095890411	82.6086956521739	19.565217391304348	54.166666666666664	176.0	17.171717171717173	9.0	65.0	-51.39622851504923	-16.373336551939886	65.9214178713881	100.12377347025947	12.604552824252051
116	117 PROBLEMA	Daddy Yankee	latin hip hop	2021	2023‑04‑13	42.99516908212561	80.0	73.97260273972603	86.95652173913044	1.0869565217391304	86.45833333333333	185.0	6.0606060606060606	10.0	64.0	-11.459559863073858	-10.718521764698805	88.91979653593708	63.85969018655887	7.683557770979601
117	118 WACHA	KHEA	argentine hip hop	2021	2023‑04‑13	45.410628019323674	63.0	69.86301369863014	82.6086956521739	9.782608695652174	54.166666666666664	206.0	35.35353535353536	4.0	64.0	-31.099621888930997	-26.703102345672328	81.94022115135874	84.69499792444998	11.436385143874723
118	119 911	Sech	panamanian pop	2021	2023‑04‑13	44.44444444444444	66.0	78.08219178082192	82.6086956521739	30.434782608695652	76.04166666666667	216.0	8.080808080808081	4.0	64.0	-30.40843064354082	-25.997020344902268	80.63872194247416	88.7805583379958	11.786365553991375
119	120 Te Necesito	KHEA	argentine hip hop	2021	2023‑04‑13	35.7487922705314	60.0	65.75342465753425	86.95652173913044	6.521739130434782	34.375	198.0	11.11111111111111	8.0	64.0	-38.90799748527563	-23.395467292038912	68.72371120375885	88.82576020779565	9.989223496128652
120	121 Verte	Nicki Nicole	argentine hip hop	2020	2023‑04‑13	71.98067632850241	67.0	73.97260273972603	82.6086956521739	6.521739130434782	76.04166666666667	157.0	37.37373737373738	37.0	64.0	-29.093178659736108	-17.089541747131832	90.58185187190549	83.73875254931684	12.549307661186013
121	122 Jeans	Justin Quiles	reggaeton	2020	2023‑04‑13	40.09661835748792	66.0	79.45205479452055	82.6086956521739	5.434782608695652	91.66666666666667	186.0	2.0202020202020203	11.0	64.0	-8.49258066068666	-10.881689136751671	90.3509153476396	62.42865221602565	8.335241936939376
122	123 Caramelo	Ozuna	puerto rican pop	2020	2023‑04‑13	80.67632850241546	79.0	69.86301369863014	82.6086956521739	13.043478260869565	71.875	217.0	5.05050505050505	7.0	64.0	-39.39496664079749	-8.459676236757089	75.32998838895206	90.22845752040958	12.066806202284914
123	124 Machu Picchu	Camilo	colombian pop	2021	2023‑04‑13	80.67632850241546	79.0	76.71232876712328	91.30434782608695	22.82608695652174	89.58333333333333	179.0	40.4040404040404	12.0	64.0	-36.36622177703178	-24.472968593017733	95.42850482189374	97.81153780208277	13.927486975171606
124	125 Me Fije	Alex Rose	reggaeton	2021	2023‑04‑13	82.6086956521739	67.0	72.6027397260274	82.6086956521739	8.695652173913043	72.91666666666667	202.0	40.4040404040404	7.0	64.0	-36.13276601632765	-17.05231476468076	88.5426931615139	90.69880535552065	13.680547659441345
125	126 YSY A: Bzrp Music Sessions, Vol. 37	Bizarrap	argentine hip hop	2021	2023‑04‑13	56.03864734299517	79.0	82.1917808219178	82.6086956521739	5.434782608695652	98.95833333333333	157.0	38.38383838383838	30.0		-9.747507835953341	-17.854789895681048	103.92945235559885	68.18803167169008	11.020486468316275
126	127 Mi Debilidad	Maria Becerra	pop argentino	2021	2023‑04‑13	44.927536231884055	65.0	69.86301369863014	82.6086956521739	9.782608695652174	66.66666666666667	166.0	17.171717171717173	6.0	63.0	-24.800983329422866	-19.2980189025454	80.51949212193406	76.83783938250883	9.795465073606826
127	128 Toa la Vida	Nicki Nicole	argentine hip hop	2021	2023‑04‑13	82.6086956521739	56.0	53.42465753424658	73.91304347826087	8.695652173913043	46.875	219.0	66.66666666666667	26.0	63.0	-43.98903116934682	-24.729520299781623	75.57593805836808	91.11195900337502	13.554564969227716
128	129 Cosas Malas - Remix	Jona Mix	cumbia 420	2021	2023‑04‑13	48.792270531400966	62.0	65.75342465753425	69.56521739130434	26.08695652173913	96.875	179.0	9.090909090909092	11.0	63.0	-12.204659760198757	-15.394204665776284	78.20460711943738	62.10518488939424	8.663850197929264
129	130 Polvo	Nicky Jam	latin hip hop	2020	2023‑04‑13	39.130434782608695	62.0	72.6027397260274	73.91304347826087	9.782608695652174	59.375	211.0	1.0101010101010102	7.0	63.0	-24.19666588457536	-14.697530509081284	72.84769974912918	73.36769534234543	9.922271967741741
130	131 Perrito Malvado	Damas Gratis	cumbia 420	2021	2023‑04‑13	40.57971014492754	70.0	52.054794520547944	65.21739130434783	77.17391304347827	60.416666666666664	281.0	14.141414141414142	7.0	63.0	-49.68924654526202	-46.1198295492146	48.954653744111745	102.90051422503775	12.649573083425077
131	132 De Cora <3	Rauw Alejandro	puerto rican pop	2020	2023‑04‑13	84.54106280193237	68.0	79.45205479452055	91.30434782608695	11.956521739130435	58.333333333333336	190.0	46.464646464646464	24.0	63.0	-50.41770143363353	-25.27299348457776	90.81951438145602	110.74266187786141	16.262778168823434
132	133 Te Vas a Arrepentir	La Nueva Luna	cuarteto	2008	2023‑04‑13	44.927536231884055	79.0	65.75342465753425	82.6086956521739	29.347826086956523	93.75	204.0	29.292929292929294	4.0	63.0	-17.771853436088087	-27.932344213426703	86.34009240709658	73.71824483669333	9.251067479440023
