	sel title	artist	top genre	year	added	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop	mellow	unpretenious	sophisticated	intense	contemperory
40	41  Shri Krishna Govind Hare Murari	Jubin Nautiyal	desi pop	2020	2023‑04‑13	52.65700483091788	63	49.31506849315068	65.21739130434783	16.304347826086957	35.416666666666664	153	30.303030303030305	4	72	-39.16433693696945	-22.70416456103621	56.89697751788282	80.64390705747168	10.676902662720115
41	"42  Nadiyon Paar (Let the Music Play Again) (From ""Roohi"")"	Sachin-Jigar	desi pop	2021	2023‑04‑13	55.072463768115945	85	89.04109589041096	78.26086956521739	10.869565217391305	71.875	164	14.141414141414142	7	72	-27.366435348120874	-16.84638429410243	89.31826303535655	85.36528740351702	13.598929098910487
42	43  Param Sundari	A.R. Rahman	filmi	2021	2023‑04‑13	58.45410628019324	76	80.82191780821918	69.56521739130434	1.0869565217391304	84.375	200	19.19191919191919	14	72	-12.76173287370428	-7.93244817893046	90.04488301718796	64.20514969528519	11.27748129748949
43	44  DESIRES	AP Dhillon	desi pop	2021	2023‑04‑13	47.82608695652174	39	86.3013698630137	56.52173913043478	4.3478260869565215	39.583333333333336	168	37.37373737373738	26	72	-29.544753671317093	-21.402378836007486	80.57503564531558	81.43353201460705	15.87360990789371
44	45  Parshawan	Harnoor	desi pop	2021	2023‑04‑13	42.99516908212561	44	78.08219178082192	69.56521739130434	9.782608695652174	43.75	168	56.56565656565657	6	71	-30.781289668573756	-32.885566128828486	85.97403156039249	86.06983699412228	14.60936456584908
45	46  Schedule	Tegi Pannu	punjabi pop	2021	2023‑04‑13	43.96135265700483	58	82.1917808219178	73.91304347826087	5.434782608695652	81.25	148	52.525252525252526	21	71	-10.45951925448649	-25.29101354521992	101.00279447241925	67.94069416620043	12.12041235764434
46	47  SPACESHIP	AP Dhillon	desi pop	2021	2023‑04‑13	76.81159420289855	68	63.013698630136986	69.56521739130434	11.956521739130435	56.25	124	8.080808080808081	10	71	-40.11079977860801	-7.926593586249631	64.59686501705562	84.81154983425681	12.1125538439788
47	48  Kina Chir	The PropheC	desi hip hop	2016	2023‑04‑13	56.52173913043478	43	53.42465753424658	65.21739130434783	7.608695652173913	37.5	216	10.1010101010101	3	71	-37.03470530197748	-11.556938503558518	55.32363239301894	76.36791530552698	10.035145228340582
48	"49  Kusu Kusu (From ""Satyameva Jayate 2"")"	Tanishk Bagchi	desi pop	2021	2023‑04‑13	48.309178743961354	91	69.86301369863014	86.95652173913044	4.3478260869565215	80.20833333333333	196	1.0101010101010102	6	71	-18.577663171320104	-10.034445670222173	82.13719084832843	69.29938417829275	7.906397770137349
49	50  Barbaadiyan	Sachet Tandon	desi pop	2021	2023‑04‑13	60.869565217391305	57	72.6027397260274	60.869565217391305	17.391304347826086	58.333333333333336	230	0.0	5	71	-32.79789557276156	-10.018910065515186	65.49394480841771	79.46664681357952	12.693915028786977
50	"51  Naatu Naatu (From ""Rrr"")"	Rahul Sipligunj	tollywood	2021	2023‑04‑13	76.81159420289855	99	24.65753424657534	82.6086956521739	6.521739130434782	71.875	214	36.36363636363637	10	71	-28.129654195318267	-10.913950967386791	62.47033768296424	63.75454026567041	4.803482073564713
51	52  In Da Getto	J Balvin	reggaeton	2021	2023‑04‑13	60.869565217391305	72	94.52054794520548	86.95652173913044	9.782608695652174	65.625	131	2.0202020202020203	5	70	-37.361467564266846	-15.092816378496096	88.76716840832387	98.04379598546512	14.59902949236258
52	53  These Days (feat. Bohemia)	Sidhu Moose Wala	desi hip hop	2021	2023‑04‑13	74.8792270531401	75	68.4931506849315	82.6086956521739	28.26086956521739	70.83333333333333	209	9.090909090909092	15	70	-44.28501513045884	-18.297476702703026	72.5407198849724	97.9884115123841	12.822085506644772
53	54  Liggi	Ritviz	desi hip hop	2019	2023‑04‑13	48.792270531400966	67	76.71232876712328	65.21739130434783	5.434782608695652	70.83333333333333	181	1.0101010101010102	5	70	-17.038817297453384	-6.957405351911014	76.6248157573351	64.72046402079158	10.50480910955896
