sel title	artist	top genre	year	added	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop
115 strawberry moon	IU	k-pop	2021	2023‑04‑13	170	71	48	-3	9	44	205	14	4	64
116 Mansae	SEVENTEEN	k-pop	2015	2023‑04‑13	112	96	75	-2	11	76	187	5	9	63
117 Crush	SEVENTEEN	k-pop	2021	2023‑04‑13	110	79	85	-4	21	88	170	13	4	63
118 Adore U	SEVENTEEN	k-pop	2015	2023‑04‑13	204	85	53	-3	14	77	187	0	20	63
119 Hello	JOY	k-pop	2021	2023‑04‑13	186	89	39	-1	35	64	219	35	5	63
120 DUMB DUMB	JEON SOMI	k-pop	2021	2023‑04‑13	103	75	85	-6	7	38	147	2	5	63
121 Favorite (Vampire)	NCT 127	k-pop	2021	2023‑04‑13	150	76	56	-4	15	18	216	0	5	63
122 New Again	Kanye West	chicago rap	2021	2023‑04‑13	91	68	67	-5	43	26	183	6	18	61
123 Selfish Love (with Selena Gomez)	DJ Snake	edm	2021	2023‑04‑13	111	65	72	-8	10	44	169	2	10	61
124 TAIL	SUNMI	k-pop	2021	2023‑04‑13	125	86	52	-3	8	43	191	4	19	61
125 Limousine (Feat. MINO) (Prod. GRAY)	BE'O	k-rap	2021	2023‑04‑13	132	70	72	-4	40	84	221	22	4	61
126 Sticker	NCT 127	k-pop	2021	2023‑04‑13	156	77	53	-0	74	72	228	31	28	60
127 Don't Call Me	SHINee	k-pop	2021	2023‑04‑13	82	78	69	-2	10	31	220	1	6	59
128 Irreplaceable	NCT DREAM	k-pop	2021	2023‑04‑13	90	83	53	-3	51	82	204	17	6	59
129 Dun Dun Dance	OH MY GIRL	k-pop	2021	2023‑04‑13	115	96	65	-0	23	76	221	17	8	59
130 Weekend	TAEYEON	k-pop	2021	2023‑04‑13	114	85	74	-2	25	86	233	8	5	59
131 Traffic light	Lee Mujin		2021	2023‑04‑13	97	72	61	-4	7	55	232	10	6	59
132 Met Him Last Night (feat. Ariana Grande)	Demi Lovato	dance pop	2021	2023‑04‑13	145	51	54	-5	10	12	205	22	3	57
133 ANL	NCT DREAM	k-pop	2021	2023‑04‑13	158	71	67	-3	14	60	226	25	5	57
134 I'll Make You Cry	aespa	k-pop	2021	2023‑04‑13	165	90	61	-3	24	64	215	9	11	57
135 Countdown (3, 2, 1)	NCT DREAM	k-pop	2021	2023‑04‑13	107	90	73	-4	6	61	215	14	12	57
136 Astronaut In The Ocean	Masked Wolf	australian hip hop	2019	2023‑04‑13	150	70	78	-7	15	47	133	18	9	57
137 NAKKA (with IU)	AKMU	k-pop	2021	2023‑04‑13	101	64	82	-7	12	50	213	7	10	57
138 gimme gimme	NCT 127	k-pop	2021	2023‑04‑13	126	85	61	-2	69	61	220	11	4	55
139 Day & Night (feat. Jay Park)	Lee Young Ji	korean trap	2021	2023‑04‑13	108	80	85	-4	11	87	216	1	24	55
140 LOCO - English Ver.	ITZY	k-pop	2021	2023‑04‑13	102	87	74	-3	35	53	191	1	22	55
141 20	SEVENTEEN	k-pop	2015	2023‑04‑13	102	89	70	-3	8	78	203	20	4	54
142 Suddenly	BE'O	k-rap	2021	2023‑04‑13	105	52	86	-5	19	64	157	56	4	53
143 All I Got	BAEKHYUN	k-pop	2021	2023‑04‑13	150	61	42	-2	7	72	240	25	13	53
144 HAPPEN	HEIZE	k-pop	2021	2023‑04‑13	113	67	70	-5	34	56	194	17	8	53
145 MERRY-GO-ROUND (Feat. Zion.T, Wonstein) (Prod. Slom)	sokodomo	k-rap	2021	2023‑04‑13	108	55	86	-7	37	70	250	29	8	53
146 When I Grow up	SEVENTEEN	k-pop	2015	2023‑04‑13	96	88	66	-3	40	58	203	12	4	52
147 Better	BoA	k-pop	2020	2023‑04‑13	92	80	59	-4	21	71	200	18	23	52
148 Ok Ok pt 2	Kanye West	chicago rap	2021	2023‑04‑13	82	47	64	-9	13	41	205	41	42	52
149 Butter - Hotter Remix	BTS	k-pop	2021	2023‑04‑13	110	75	70	-5	23	79	167	0	5	52
150 MELODY	ASH ISLAND	k-rap	2021	2023‑04‑13	150	71	63	-4	10	58	180	38	6	52
151 Rain and You	Lee Mujin		2021	2023‑04‑13	136	28	52	-9	16	24	262	78	3	51
152 Empty Cup	IU	k-pop	2021	2023‑04‑13	105	49	76	-5	11	42	140	43	3	50
153 Rock	SEVENTEEN	k-pop	2015	2023‑04‑13	97	93	59	-4	21	45	192	1	17	50
154 Donda Chant	Kanye West	chicago rap	2021	2023‑04‑13	103	5	70	-15	15	18	52	1	53	50
155 Hi spring Bye	IU	k-pop	2021	2023‑04‑13	92	51	50	-6	8	19	324	77	3	50
156 We Ride	Brave Girls	k-pop	2020	2023‑04‑13	110	95	60	-2	13	81	190	18	6	50
157 Antifreeze	Yerin Baek	korean pop	2021	2023‑04‑13	124	60	73	-8	14	57	246	77	4	50
158 Chi Mat Ba Ram	Brave Girls	k-pop	2021	2023‑04‑13	127	89	65	-2	30	83	217	3	3	49
159 Rocket	NCT DREAM	k-pop	2021	2023‑04‑13	100	89	76	-3	4	77	175	21	12	49
