sel title	artist	top genre	year	added	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop
118 WACHA	KHEA	argentine hip hop	2021	2023‑04‑13	95	63	74	-4	11	53	206	35	4	64                                
119 911	Sech	panamanian pop	2021	2023‑04‑13	93	66	80	-4	30	74	216	8	4	64                                      
120 Te Necesito	KHEA	argentine hip hop	2021	2023‑04‑13	75	60	71	-3	8	34	198	11	8	64                           
121 Verte	Nicki Nicole	argentine hip hop	2020	2023‑04‑13	150	67	77	-4	8	74	157	37	37	64                       
122 Jeans	Justin Quiles	reggaeton	2020	2023‑04‑13	84	66	81	-4	7	89	186	2	11	64                                
123 Caramelo	Ozuna	puerto rican pop	2020	2023‑04‑13	168	79	74	-4	14	70	217	5	7	64                             
124 Machu Picchu	Camilo	colombian pop	2021	2023‑04‑13	168	79	79	-2	23	87	179	40	12	64                         
125 Me Fije	Alex Rose	reggaeton	2021	2023‑04‑13	172	67	76	-4	10	71	202	40	7	64                                
126 YSY A: Bzrp Music Sessions, Vol. 37	Bizarrap	argentine hip hop	2021	2023‑04‑13	117	79	83	-4	7	96	157	38	30
127 Mi Debilidad	Maria Becerra	pop argentino	2021	2023‑04‑13	94	65	74	-4	11	65	166	17	6	63                    
128 Toa la Vida	Nicki Nicole	argentine hip hop	2021	2023‑04‑13	172	56	62	-6	10	46	219	66	26	63                
129 Cosas Malas - Remix	Jona Mix	cumbia 420	2021	2023‑04‑13	102	62	71	-7	26	94	179	9	11	63                    
130 Polvo	Nicky Jam	latin hip hop	2020	2023‑04‑13	82	62	76	-6	11	58	211	1	7	63                                
131 Perrito Malvado	Damas Gratis	cumbia 420	2021	2023‑04‑13	85	70	61	-8	73	59	281	14	7	63                     
132 De Cora <3	Rauw Alejandro	puerto rican pop	2020	2023‑04‑13	176	68	81	-2	13	57	190	46	24	63                
133 Te Vas a Arrepentir	La Nueva Luna	cuarteto	2008	2023‑04‑13	94	79	71	-4	29	91	204	29	4	63                  
134 Tamo Chelo	EL NOBA	cumbia 420	2021	2023‑04‑13	176	66	79	-4	11	78	113	1	24	63                              
135 Unfollow	Duki	argentine hip hop	2021	2023‑04‑13	92	65	82	-4	18	71	197	2	13	62                             
136 Hace Calor	Kaleb Di Masi	cumbia 420	2021	2023‑04‑13	130	55	91	-6	8	36	201	24	7	62                         
137 En la Oscuridad	LIT killah	argentine hip hop	2021	2023‑04‑13	100	75	81	-4	7	40	173	11	5	62                
138 Ropa Cara	Camilo	colombian pop	2021	2023‑04‑13	170	53	81	-5	11	61	163	11	13	62                            
139 Ayer Me Llamó Mi Ex – Remix	KHEA	argentine hip hop	2020	2023‑04‑13	117	69	78	-5	12	55	256	23	4	62         
140 TURRA	Cazzu	argentine hip hop	2021	2023‑04‑13	174	70	73	-5	10	71	206	43	26	62                             
141 NIÑO GORDO FLACO	WOS	argentine indie	2021	2023‑04‑13	110	93	60	-4	16	49	144	10	5	62                       
142 TITAN	Salastkbron	pop argentino	2021	2023‑04‑13	180	49	73	-9	10	96	122	34	19	61                           
143 Ya No Llora	Marama	cumbia pop	2021	2023‑04‑13	141	73	69	-6	9	46	121	22	10	61                              
144 De Enero a Diciembre	Emilia	pop argentino	2021	2023‑04‑13	95	44	85	-6	11	57	164	30	6	61                   
145 Ponte Pa' Mi	Justin Quiles	reggaeton	2020	2023‑04‑13	92	71	88	-5	8	62	202	6	9	61                          
146 Bailando Te Conocí	Rusherking	trap argentino	2021	2023‑04‑13	100	62	85	-4	9	56	194	4	6	61                 
147 Chico Estrella	Duki	argentine hip hop	2021	2023‑04‑13	140	73	72	-4	17	57	170	12	5	61                      
148 Me Enseñaste - Remix	Sael	urbano latino	2021	2023‑04‑13	152	53	57	-6	12	41	241	40	29	61                   
149 MESITA | Mission 05	Alan Gomez	cumbia 420	2021	2023‑04‑13	180	46	74	-6	17	82	136	70	32	61                 
150 Noche de Party	Migrantes	cumbia pop	2021	2023‑04‑13	130	79	72	-5	37	83	153	20	5	61                        
151 OPA	Dillom	trap argentino	2021	2023‑04‑13	100	61	93	-5	9	85	170	13	19	61                                  
152 rápido lento	Emilia	pop argentino	2021	2023‑04‑13	80	35	79	-8	18	67	213	30	10	60                          
153 KALEB DI MASI | DJ TAO Turreo Sessions #5	Kaleb Di Masi	cumbia 420	2021	2023‑04‑13	176	85	79	-5	24	67	148	
154 YO SE QUE TU (feat. Rusherking)	FMK	trap argentino	2021	2023‑04‑13	92	63	80	-4	5	66	193	15	5	60           
155 DELITO	NATHY PELUSO	r&b en espanol	2020	2023‑04‑13	83	51	54	-8	8	65	203	52	29	60                          
156 Confiesalo	Maria Becerra	pop argentino	2020	2023‑04‑13	100	44	94	-7	8	66	197	39	7	60                      
157 SOLO POR VOS	Trueno	argentine hip hop	2021	2023‑04‑13	87	53	70	-8	10	63	200	75	14	60                      
158 Wow Wow (feat. Becky G)	Maria Becerra	pop argentino	2021	2023‑04‑13	176	68	74	-4	10	87	200	7	8	59         
159 Sabe	Nicki Nicole	argentine hip hop	2021	2023‑04‑13	93	62	79	-4	17	77	178	10	14	59                        
160 BB	MYA	pop argentino	2021	2023‑04‑13	88	76	77	-5	9	85	156	14	18	59                                        
161 Cazame	Maria Becerra	pop argentino	2021	2023‑04‑13	98	46	58	-7	11	30	200	14	17	59                         
162 Acaramelao	Maria Becerra	pop argentino	2021	2023‑04‑13	160	72	71	-3	12	52	185	46	5	59                     
163 Pistola Remix	L-Gante	cumbia 420	2021	2023‑04‑13	81	68	78	-7	11	87	137	16	25	59                           
164 Cuando Me Ves	Dani Ribba	argentine hip hop	2021	2023‑04‑13	83	50	70	-5	12	49	200	72	9	59                  
165 Vibez	ZAYN	dance pop	2021	2023‑04‑13	97	66	64	-7	11	34	163	24	12	59                                       
166 Iluminará	La Nueva Luna	cuarteto	2017	2023‑04‑13	108	88	64	-4	13	77	242	24	4	59                           
167 Turraka - Remix	Kaleb Di Masi	cumbia 420	2021	2023‑04‑13	170	60	80	-7	5	68	210	39	33	58                   
168 TRUCHO	Perro Primo	cumbia 420	2021	2023‑04‑13	90	56	78	-6	10	57	144	45	26	58                              
169 Tú no me conoces	Danny Ocean	pop venezolano	2021	2023‑04‑13	94	65	79	-7	10	71	150	30	6	58                 
170 Ley de Atracción	Duki	argentine hip hop	2021	2023‑04‑13	92	68	78	-4	32	73	180	20	7	58                     
171 Dejame Tranki	LIT killah	argentine hip hop	2021	2023‑04‑13	142	50	78	-4	13	66	222	36	12	58                
172 BLUNTED 5 - Remix	Bruno LC	cumbia 420	2021	2023‑04‑13	172	27	75	-12	5	48	141	21	41	57                     
173 La mano de Dios (Homenaje a Diego Maradona)	Rodrigo	argentine rock	2011	2023‑04‑13	157	86	40	-6	94	50	344	
174 Soy Cordobes	Rodrigo	argentine rock	2011	2023‑04‑13	158	94	51	-5	82	82	303	16	9	57                        
175 Matatan	Kaleb Di Masi	cumbia 420	2021	2023‑04‑13	86	71	83	-8	9	65	159	20	43	56                            
176 Barrio Prendido	The La Planta	cumbia pop	2020	2023‑04‑13	116	54	59	-8	14	97	240	17	9	56                   
177 Playa	TINI	latin pop	2020	2023‑04‑13	80	74	80	-4	8	73	147	21	12	56                                        
178 Pa Tra Rkt	Callejero Fino	rkt	2021	2023‑04‑13	90	75	75	-6	60	54	191	6	7	55                                
179 Prende la Cámara	FMK	trap argentino	2021	2023‑04‑13	92	68	87	-4	8	80	149	6	10	55                          
180 Toa la Vida	Nicki Nicole	argentine hip hop	2021	2023‑04‑13	172	56	62	-6	10	46	219	66	26	55                
181 Parte de Mí	Nicki Nicole	argentine hip hop	2021	2023‑04‑13	82	37	55	-9	11	41	175	90	4	55                  
182 Animal	Maria Becerra	pop argentino	2021	2023‑04‑13	180	81	72	-4	13	70	204	27	16	54                        
183 Me Has Dejado	Nicki Nicole	argentine hip hop	2021	2023‑04‑13	160	74	54	-5	9	42	242	54	6	54                
184 No Toque Mi Naik	Nicki Nicole	argentine hip hop	2021	2023‑04‑13	95	78	76	-3	14	61	144	28	20	54            
185 Turraka - Remix	Kaleb Di Masi	cumbia 420	2021	2023‑04‑13	180	64	79	-6	16	55	124	39	23	53                  
186 Midtown	Duki	argentine hip hop	2021	2023‑04‑13	174	58	67	-4	7	78	206	5	14	53                              
187 Combi Nueva	Papichamp	cumbia 420	2021	2023‑04‑13	100	61	80	-7	35	67	192	38	15	53                          
188 Tinty Nasty	L-Gante	cumbia 420	2021	2023‑04‑13	170	49	79	-10	9	55	187	33	47	53                            
189 Que a Pasao - Remix	Big Apple	cumbia 420	2021	2023‑04‑13	NaN	NaN	NaN	NaN	NaN	NaN	213	NaN	NaN	51           
190 Loba	Rusherking	trap argentino	2021	2023‑04‑13	82	62	88	-5	9	83	158	14	7	51                               
191 Te Mentiría	Luck Ra	trap argentino	2021	2023‑04‑13	94	76	69	-5	10	70	186	2	4	51                           
192 Como + Nadie	MYA	pop argentino	2021	2023‑04‑13	91	68	81	-4	11	69	184	11	5	50                              
193 Pistola	L-Gante	cumbia 420	2020	2023‑04‑13	162	60	84	-8	11	92	157	23	22	49                                
194 Te Mentiria	Luck Ra	trap argentino	2021	2023‑04‑13	94	76	69	-5	10	70	186	2	4	48                           
195 Bien Chula	KHEA	argentine hip hop	2021	2023‑04‑13	94	74	65	-3	34	45	172	29	6	48                           
196 Don Omar RKT - Remix	Tomy DJ	previa	2021	2023‑04‑13	82	51	70	-7	14	37	179	16	30	48                        
197 California	LIT killah	argentine hip hop	2021	2023‑04‑13	120	70	75	-7	39	87	201	3	3	47                     
198 Que a Pasao	Big Apple	cumbia 420	2021	2023‑04‑13	92	64	88	-4	4	49	126	3	6	43                              
199 Brasil Decime Que Se Siente (Mundial 2014)	Banda Mundial		2014	2023‑04‑13	196	70	40	-6	69	91	321	9	25	42  
200 Esos Días	Sael	urbano latino	2021	2023‑04‑13	93	45	91	-6	7	46	151	4	25	33                                 
